"Position" "Const" "Created" "Modified" "Description" "Title" "URL" "Title Type" "IMDb Rating" "Runtime (mins)" "Year" "Genres" "Num Votes" "Release Date" "Directors" "Your Rating" "Date Rated"
425 "tt2265398" 2018-04-16 2018-04-16 NA "Drinking Buddies" "https://www.imdb.com/title/tt2265398/" "movie" 6.1 90 2013 "Comedy, Drama, Romance" 51273 2013-01-22 "Joe Swanberg" 8 2018-04-16
301 "tt0051201" 2014-03-05 2014-03-05 NA "Witness for the Prosecution" "https://www.imdb.com/title/tt0051201/" "movie" 8.4 116 1957 "Crime, Drama, Mystery, Thriller" 82264 1957-12-17 "Billy Wilder" 10 2014-03-05
228 "tt0113492" 2013-02-03 2013-02-03 NA "Judge Dredd" "https://www.imdb.com/title/tt0113492/" "movie" 5.5 96 1995 "Action, Crime, Sci-Fi, Thriller" 97787 1995-06-30 "Danny Cannon" 5 2013-02-03
340 "tt0285800" 2015-10-19 2015-10-19 NA "Notre-Dame de Paris" "https://www.imdb.com/title/tt0285800/" "tvMovie" 9 150 1999 "Drama, Music, Musical, Romance" 1229 NA "Gilles Amado" 8 2015-10-19
173 "tt0329347" 2013-01-28 2013-01-28 NA "Man, Taraneh, panzdah sal daram" "https://www.imdb.com/title/tt0329347/" "movie" 7.2 110 2002 "Drama" 2347 2002-02-01 "Rasoul Sadrameli" 8 2013-02-01
366 "tt1663202" 2016-03-14 2016-03-14 NA "The Revenant" "https://www.imdb.com/title/tt1663202/" "movie" 8 156 2015 "Adventure, Drama, History, Thriller, Western" 557829 2015-12-16 "Alejandro G. Iñárritu" 6 2016-03-14
183 "tt0841186" 2013-01-28 2013-01-28 NA "Vaghti hame khab boodand" "https://www.imdb.com/title/tt0841186/" "movie" 6.5 84 2006 "Drama" 119 2006-01-31 "Fereidoun Hasanpour" 2 2013-02-01
126 "tt0381707" 2013-01-27 2013-01-27 NA "White Chicks" "https://www.imdb.com/title/tt0381707/" "movie" 5.5 109 2004 "Comedy, Crime" 111505 2004-06-23 "Keenen Ivory Wayans" 2 2013-02-01
201 "tt0250687" 2013-01-29 2013-01-29 NA "Rat Race" "https://www.imdb.com/title/tt0250687/" "movie" 6.4 112 2001 "Adventure, Comedy" 99318 2001-07-30 "Jerry Zucker" 6 2013-02-01
99 "tt0095489" 2013-01-27 2013-01-27 NA "The Land Before Time" "https://www.imdb.com/title/tt0095489/" "movie" 7.4 69 1988 "Animation, Adventure, Drama, Family" 68960 1988-11-18 "Don Bluth" 6 2013-02-01
95 "tt0099785" 2013-01-27 2013-01-27 NA "Home Alone" "https://www.imdb.com/title/tt0099785/" "movie" 7.5 103 1990 "Comedy, Family" 371568 1990-11-10 "Chris Columbus" 7 2013-01-31
68 "tt0058331" 2013-01-27 2013-01-27 NA "Mary Poppins" "https://www.imdb.com/title/tt0058331/" "movie" 7.8 139 1964 "Comedy, Family, Fantasy, Musical" 124279 1964-08-27 "Robert Stevenson" 9 2013-04-17
114 "tt0268695" 2013-01-27 2013-01-27 NA "The Time Machine" "https://www.imdb.com/title/tt0268695/" "movie" 5.9 96 2002 "Action, Adventure, Sci-Fi" 109712 2002-03-04 "Simon Wells" 3 2013-02-01
317 "tt2268617" 2014-12-18 2014-12-18 NA "Puss in Boots: The Three Diablos" "https://www.imdb.com/title/tt2268617/" "video" 7 13 2012 "Animation, Short, Adventure, Comedy, Family" 3070 2012-02-24 "Raman Hui" 7 2014-12-18
47 "tt1832382" 2013-01-27 2013-01-27 NA "Jodaeiye Nader az Simin" "https://www.imdb.com/title/tt1832382/" "movie" 8.3 123 2011 "Drama, Mystery" 181207 2011-02-01 "Asghar Farhadi" 9 2013-06-25
28 "tt0266543" 2013-01-27 2013-01-27 NA "Finding Nemo" "https://www.imdb.com/title/tt0266543/" "movie" 8.1 100 2003 "Animation, Adventure, Comedy, Family, Fantasy" 808602 2003-05-30 "Andrew Stanton, Lee Unkrich" 8 2013-01-31
416 "tt5290382" 2017-12-18 2017-12-18 NA "Mindhunter" "https://www.imdb.com/title/tt5290382/" "tvSeries" 8.6 60 2017 "Crime, Drama, Thriller" 83718 2017-10-13 NA 9 2017-12-30
208 "tt0094525" 2013-01-29 2013-01-29 NA "Agatha Christie's Poirot" "https://www.imdb.com/title/tt0094525/" "tvSeries" 8.6 100 1989 "Crime, Drama, Mystery, Thriller" 29772 1989-01-08 NA 9 2014-06-20
186 "tt0945553" 2013-01-28 2013-01-28 NA "Ezdevaj be sabke irani" "https://www.imdb.com/title/tt0945553/" "movie" 5 110 2006 "Comedy, Drama" 476 2006-08-04 "Hassan Fathi" 5 2013-02-01
406 "tt3920596" 2017-07-20 2017-07-20 NA "Big Little Lies" "https://www.imdb.com/title/tt3920596/" "tvSeries" 8.6 60 2017 "Crime, Drama, Mystery" 75951 2017-02-19 NA 9 2017-07-21
310 "tt1837576" 2014-10-25 2014-10-25 NA "Scandal" "https://www.imdb.com/title/tt1837576/" "tvSeries" 7.8 43 2012 "Drama, Thriller" 60676 2012-04-05 NA 9 2017-05-08
219 "tt0167872" 2013-02-03 2013-02-03 NA "David Copperfield" "https://www.imdb.com/title/tt0167872/" "tvMiniSeries" 7.8 185 1999 "Drama" 3619 1999-12-25 NA 7 2013-02-03
332 "tt0088500" 2015-06-10 2015-06-10 NA "Count Duckula" "https://www.imdb.com/title/tt0088500/" "tvSeries" 7.5 22 1988 "Animation, Comedy, Family, Horror" 2864 1988-09-06 NA 9 2015-06-10
195 "tt2211784" 2013-01-29 2013-01-29 NA "Azmayeshgah" "https://www.imdb.com/title/tt2211784/" "movie" 4.6 NA 2012 "Comedy, Romance" 106 2012-06-17 "Hamid Amjad" 2 2013-01-31
242 "tt0088247" 2013-02-07 2013-02-07 NA "The Terminator" "https://www.imdb.com/title/tt0088247/" "movie" 8 107 1984 "Action, Sci-Fi" 685325 1984-10-26 "James Cameron" NA NA
231 "tt0435705" 2013-02-03 2013-02-03 NA "Next" "https://www.imdb.com/title/tt0435705/" "movie" 6.2 96 2007 "Action, Sci-Fi, Thriller" 134822 2007-04-25 "Lee Tamahori" 4 2013-02-03
407 "tt3741834" 2017-07-23 2017-07-23 NA "Lion" "https://www.imdb.com/title/tt3741834/" "movie" 8.1 118 2016 "Biography, Drama" 158433 2016-09-10 "Garth Davis" 8 2017-07-23
128 "tt0164912" 2013-01-27 2013-01-27 NA "Stuart Little" "https://www.imdb.com/title/tt0164912/" "movie" 5.9 84 1999 "Adventure, Comedy, Family, Fantasy" 107637 1999-12-05 "Rob Minkoff" 5 2013-02-01
391 "tt3845888" 2017-01-12 2017-01-12 NA "Sherlock: The Lying Detective" "https://www.imdb.com/title/tt3845888/" "tvEpisode" 9.3 89 2017 "Crime, Drama, Mystery" 20978 2017-01-08 "Nick Hurran" 9 2017-01-12
119 "tt0448011" 2013-01-27 2013-01-27 NA "Knowing" "https://www.imdb.com/title/tt0448011/" "movie" 6.2 121 2009 "Drama, Mystery, Sci-Fi, Thriller" 201389 2009-03-09 "Alex Proyas" 6 2013-10-24
4 "tt0338013" 2013-01-27 2013-01-27 NA "Eternal Sunshine of the Spotless Mind" "https://www.imdb.com/title/tt0338013/" "movie" 8.3 108 2004 "Drama, Romance, Sci-Fi" 769811 2004-03-09 "Michel Gondry" 7 2013-01-31
53 "tt0145487" 2013-01-27 2013-01-27 NA "Spider-Man" "https://www.imdb.com/title/tt0145487/" "movie" 7.3 121 2002 "Action, Adventure, Sci-Fi" 604634 2002-04-30 "Sam Raimi" 4 2013-02-01
294 "tt0032904" 2014-02-13 2014-02-13 NA "The Philadelphia Story" "https://www.imdb.com/title/tt0032904/" "movie" 8 112 1940 "Comedy, Romance" 55444 1940-12-05 "George Cukor" 7 2014-02-13
66 "tt0120789" 2013-01-27 2013-01-27 NA "Pleasantville" "https://www.imdb.com/title/tt0120789/" "movie" 7.5 124 1998 "Comedy, Drama, Fantasy" 110619 1998-09-17 "Gary Ross" 5 2015-01-09
343 "tt0110413" 2015-11-20 2015-11-20 NA "Léon" "https://www.imdb.com/title/tt0110413/" "movie" 8.6 110 1994 "Crime, Drama, Thriller" 850243 1994-09-14 "Luc Besson" 9 2015-11-20
22 "tt1049413" 2013-01-27 2013-01-27 NA "Up" "https://www.imdb.com/title/tt1049413/" "movie" 8.3 96 2009 "Animation, Adventure, Comedy, Family" 782001 2009-05-13 "Pete Docter, Bob Peterson" 7 2013-01-31
70 "tt0110357" 2013-01-27 2013-01-27 NA "The Lion King" "https://www.imdb.com/title/tt0110357/" "movie" 8.5 88 1994 "Animation, Adventure, Drama, Family, Musical" 763718 1994-02-02 "Rob Minkoff, Roger Allers" 9 2013-02-01
206 "tt0433696" 2013-01-29 2013-01-29 NA "Tom and Jerry Blast Off to Mars!" "https://www.imdb.com/title/tt0433696/" "video" 6 74 2005 "Animation, Action, Adventure, Comedy, Family, Sci-Fi" 1134 2005-01-18 "Bill Kopp" 8 2013-02-01
238 "tt0396042" 2013-02-06 2013-02-06 NA "The Ugly Duckling and Me!" "https://www.imdb.com/title/tt0396042/" "movie" 5.5 89 2006 "Animation, Adventure, Comedy" 2164 2006-09-10 "Karsten Kiilerich, Michael Hegner" 7 2014-11-12
371 "tt3257072" 2016-06-29 2016-06-29 NA "Mahi va gorbeh" "https://www.imdb.com/title/tt3257072/" "movie" 7.5 134 2013 "Drama, Horror, Mystery" 1651 2013-09-06 "Shahram Mokri" 6 2016-06-29
336 "tt2267998" 2015-09-13 2015-09-13 NA "Gone Girl" "https://www.imdb.com/title/tt2267998/" "movie" 8.1 149 2014 "Crime, Drama, Mystery, Thriller" 699937 2014-09-26 "David Fincher" 7 2015-09-13
69 "tt0059742" 2013-01-27 2013-01-27 NA "The Sound of Music" "https://www.imdb.com/title/tt0059742/" "movie" 8 172 1965 "Biography, Drama, Family, Musical, Romance" 168941 1965-03-02 "Robert Wise" 10 2013-01-31
31 "tt1010048" 2013-01-27 2013-01-27 NA "Slumdog Millionaire" "https://www.imdb.com/title/tt1010048/" "movie" 8 120 2008 "Drama, Romance" 710819 2008-08-30 "Loveleen Tandan, Danny Boyle" 8 2013-01-31
278 "tt0293508" 2013-12-05 2013-12-05 NA "The Phantom of the Opera" "https://www.imdb.com/title/tt0293508/" "movie" 7.3 143 2004 "Drama, Musical, Romance, Thriller" 105027 2004-12-09 "Joel Schumacher" 10 2014-01-02
157 "tt0125718" 2013-01-27 2013-01-27 NA "Del Shodegan" "https://www.imdb.com/title/tt0125718/" "movie" 7.6 91 1992 "Drama, History, Music" 650 1992-12-31 "Ali Hatami" 6 2013-02-01
341 "tt0028597" 2015-11-14 2015-11-14 NA "The Awful Truth" "https://www.imdb.com/title/tt0028597/" "movie" 7.9 91 1937 "Comedy, Romance" 14988 1937-10-20 "Leo McCarey" 7 2015-11-14
121 "tt0343818" 2013-01-27 2013-01-27 NA "I, Robot" "https://www.imdb.com/title/tt0343818/" "movie" 7.1 115 2004 "Action, Crime, Drama, Mystery, Sci-Fi, Thriller" 438592 2004-07-07 "Alex Proyas" 4 2013-02-01
273 "tt1475582" 2013-09-05 2013-09-05 NA "Sherlock" "https://www.imdb.com/title/tt1475582/" "tvSeries" 9.2 88 2010 "Crime, Drama, Mystery" 638534 2010-07-25 NA 10 2013-09-20
412 "tt1826940" 2017-08-24 2017-08-24 NA "New Girl" "https://www.imdb.com/title/tt1826940/" "tvSeries" 7.7 22 2011 "Comedy" 160207 2011-09-20 NA 7 2017-08-27
96 "tt0497465" 2013-01-27 2013-01-27 NA "Vicky Cristina Barcelona" "https://www.imdb.com/title/tt0497465/" "movie" 7.1 96 2008 "Drama, Romance" 218644 2008-05-17 "Woody Allen" 9 2017-09-27
175 "tt1298835" 2013-01-28 2013-01-28 NA "Damagh be sabke irani" "https://www.imdb.com/title/tt1298835/" "movie" 6.6 52 2006 "Documentary" 74 2006-10-05 "Mehrdad Oskouei" 3 2013-02-01
367 "tt1307068" 2016-03-22 2016-03-22 NA "Seeking a Friend for the End of the World" "https://www.imdb.com/title/tt1307068/" "movie" 6.7 101 2012 "Adventure, Comedy, Drama, Romance, Sci-Fi" 97844 2012-06-18 "Lorene Scafaria" 6 2016-03-22
308 "tt0413573" 2014-07-01 2014-07-01 NA "Grey's Anatomy" "https://www.imdb.com/title/tt0413573/" "tvSeries" 7.6 41 2005 "Drama, Romance" 191296 2005-03-27 NA 9 2015-12-24
368 "tt0795421" 2016-03-23 2016-03-23 NA "Mamma Mia!" "https://www.imdb.com/title/tt0795421/" "movie" 6.4 108 2008 "Comedy, Musical, Romance" 164171 2008-06-30 "Phyllida Lloyd" 7 2016-03-23
196 "tt0120977" 2013-01-29 2013-01-29 NA "Khane sabz" "https://www.imdb.com/title/tt0120977/" "tvSeries" 7.7 NA 1996 "Comedy, Drama" 882 NA NA 8 2013-02-01
400 "tt0460649" 2017-05-24 2017-05-24 NA "How I Met Your Mother" "https://www.imdb.com/title/tt0460649/" "tvSeries" 8.4 22 2005 "Comedy, Romance" 507828 2005-09-19 NA 9 2017-05-24
109 "tt0449088" 2013-01-27 2013-01-27 NA "Pirates of the Caribbean: At World's End" "https://www.imdb.com/title/tt0449088/" "movie" 7.1 169 2007 "Action, Adventure, Fantasy" 529034 2007-05-19 "Gore Verbinski" 6 2013-02-01
282 "tt0120631" 2014-01-07 2014-01-07 NA "EverAfter" "https://www.imdb.com/title/tt0120631/" "movie" 7 121 1998 "Comedy, Drama, Romance" 62398 1998-07-29 "Andy Tennant" 7 2013-12-17
410 "tt2861424" 2017-08-16 2017-08-16 NA "Rick and Morty" "https://www.imdb.com/title/tt2861424/" "tvSeries" 9.3 23 2013 "Animation, Adventure, Comedy, Sci-Fi" 208924 2013-12-02 NA 10 2017-08-18
321 "tt0068646" 2015-01-12 2015-01-12 NA "The Godfather" "https://www.imdb.com/title/tt0068646/" "movie" 9.2 175 1972 "Crime, Drama" 1332808 1972-03-14 "Francis Ford Coppola" 8 2015-01-12
223 "tt0112642" 2013-02-03 2013-02-03 NA "Casper" "https://www.imdb.com/title/tt0112642/" "movie" 6.1 100 1995 "Comedy, Family, Fantasy" 99382 1995-05-26 "Brad Silberling" 7 2013-02-03
192 "tt0816176" 2013-01-28 2013-01-28 NA "Shaam-e aroosi" "https://www.imdb.com/title/tt0816176/" "movie" 4 NA 2006 "Comedy" 346 2006-02-01 "Ebrahim Vahidzadeh" 2 2013-02-01
172 "tt0116852" 2013-01-28 2013-01-28 NA "Leily Ba Man Ast" "https://www.imdb.com/title/tt0116852/" "movie" 7.8 95 1996 "Adventure, Comedy, War" 2853 1996-02-01 "Kamal Tabrizi" 8 2013-02-01
326 "tt2949338" 2015-03-02 2015-03-02 NA "Room 8" "https://www.imdb.com/title/tt2949338/" "short" 8 7 2013 "Short, Drama, Fantasy, Sci-Fi, Thriller" 1764 2013-04-24 "James W. Griffiths" 8 2015-03-02
266 "tt0364361" 2013-07-09 2013-07-09 NA "Gahi be aseman negah kon" "https://www.imdb.com/title/tt0364361/" "movie" 7.1 92 2003 "Comedy" 281 NA "Kamal Tabrizi" 5 2013-07-26
354 "tt0098904" 2015-12-21 2015-12-21 NA "Seinfeld" "https://www.imdb.com/title/tt0098904/" "tvSeries" 8.9 22 1989 "Comedy" 204248 1989-07-05 NA 7 2017-01-13
221 "tt0346491" 2013-02-03 2013-02-03 NA "Alexander" "https://www.imdb.com/title/tt0346491/" "movie" 5.6 175 2004 "Action, Adventure, Biography, Drama, History, Romance, War" 149090 2004-11-16 "Oliver Stone" 5 2013-02-03
147 "tt1111954" 2013-01-27 2013-01-27 NA "Taghato" "https://www.imdb.com/title/tt1111954/" "movie" 6.1 102 2006 "Drama" 437 2006-02-01 "Abolhassan Davoodi" 8 2013-01-31
210 "tt0109190" 2013-01-29 2013-01-29 NA "Baby's Day Out" "https://www.imdb.com/title/tt0109190/" "movie" 6 99 1994 "Adventure, Comedy, Crime, Drama, Family" 38192 1994-07-01 "Patrick Read Johnson" 4 2013-02-01
375 "tt2674426" 2016-09-11 2016-09-11 NA "Me Before You" "https://www.imdb.com/title/tt2674426/" "movie" 7.4 106 2016 "Drama, Romance" 144015 2016-05-23 "Thea Sharrock" 8 2016-09-11
428 "tt2140619" 2018-04-30 2018-04-30 NA "Two Night Stand" "https://www.imdb.com/title/tt2140619/" "movie" 6.4 86 2014 "Comedy, Romance" 55782 2014-09-25 "Max Nichols" 5 2018-04-30
285 "tt0053604" 2014-01-09 2014-01-09 NA "The Apartment" "https://www.imdb.com/title/tt0053604/" "movie" 8.3 125 1960 "Comedy, Drama, Romance" 131986 1960-06-15 "Billy Wilder" 9 2014-01-13
251 "tt1433857" 2013-02-18 2013-02-18 NA "Zandegi ba cheshmane baste" "https://www.imdb.com/title/tt1433857/" "movie" 5.7 101 2010 "Drama" 408 2010-02-28 "Rasoul Sadrameli" 5 2015-01-12
118 "tt0413267" 2013-01-27 2013-01-27 NA "Shrek the Third" "https://www.imdb.com/title/tt0413267/" "movie" 6 93 2007 "Animation, Adventure, Comedy, Family, Fantasy" 237840 2007-05-06 "Chris Miller, Raman Hui" 6 2013-02-01
65 "tt0119654" 2013-01-27 2013-01-27 NA "Men in Black" "https://www.imdb.com/title/tt0119654/" "movie" 7.3 98 1997 "Adventure, Comedy, Family, Mystery, Sci-Fi" 450057 1997-07-02 "Barry Sonnenfeld" 4 2013-02-01
138 "tt0099653" 2013-01-27 2013-01-27 NA "Ghost" "https://www.imdb.com/title/tt0099653/" "movie" 7 127 1990 "Drama, Fantasy, Romance, Thriller" 169517 1990-07-13 "Jerry Zucker" 5 2013-02-01
252 "tt0102369" 2013-02-18 2013-02-18 NA "Madar" "https://www.imdb.com/title/tt0102369/" "movie" 8.6 108 1990 "Drama" 3169 1990-02-01 "Ali Hatami" 7 2015-01-12
218 "tt0363771" 2013-02-03 2013-02-03 NA "The Chronicles of Narnia: The Lion, the Witch and the Wardrobe" "https://www.imdb.com/title/tt0363771/" "movie" 6.9 143 2005 "Adventure, Family, Fantasy" 320846 2005-12-07 "Andrew Adamson" 7 2013-02-03
370 "tt4941804" 2016-04-07 2016-04-07 NA "Riley's First Date?" "https://www.imdb.com/title/tt4941804/" "video" 7.5 5 2015 "Animation, Short, Comedy, Family, Romance" 4118 2015-10-13 "Josh Cooley" 9 2016-12-21
77 "tt0264464" 2013-01-27 2013-01-27 NA "Catch Me If You Can" "https://www.imdb.com/title/tt0264464/" "movie" 8.1 141 2002 "Biography, Crime, Drama" 652818 2002-12-16 "Steven Spielberg" 8 2013-02-01
235 "tt1201607" 2013-02-05 2013-02-05 NA "Harry Potter and the Deathly Hallows: Part 2" "https://www.imdb.com/title/tt1201607/" "movie" 8.1 130 2011 "Adventure, Drama, Fantasy, Mystery" 641230 2011-07-07 "David Yates" 8 2013-02-06
246 "tt0283054" 2013-02-10 2013-02-10 NA "Thunderpants" "https://www.imdb.com/title/tt0283054/" "movie" 3.6 87 2002 "Comedy, Family, Sci-Fi" 4878 2002-05-24 "Peter Hewitt" 2 2013-02-10
337 "tt0795176" 2015-09-22 2015-09-22 NA "Planet Earth" "https://www.imdb.com/title/tt0795176/" "tvMiniSeries" 9.4 533 2006 "Documentary" 131998 2006-02-27 NA 10 2018-01-03
329 "tt0877057" 2015-04-26 2015-04-26 NA "Death Note: Desu nôto" "https://www.imdb.com/title/tt0877057/" "tvSeries" 9 24 2006 "Animation, Crime, Drama, Fantasy, Mystery, Thriller" 157030 2006-10-03 NA 7 2015-09-30
269 "tt0368709" 2013-07-25 2013-07-25 NA "Elizabethtown" "https://www.imdb.com/title/tt0368709/" "movie" 6.4 123 2005 "Comedy, Drama, Romance" 62236 2005-09-04 "Cameron Crowe" 7 2013-07-26
154 "tt0064356" 2013-01-27 2013-01-27 NA "Gaav" "https://www.imdb.com/title/tt0064356/" "movie" 8.1 104 1969 "Drama" 4781 1969-12-31 "Dariush Mehrjui" 8 2013-02-01
346 "tt0335559" 2015-12-03 2015-12-03 NA "Win a Date with Tad Hamilton!" "https://www.imdb.com/title/tt0335559/" "movie" 5.6 95 2004 "Comedy, Romance" 24424 2004-01-23 "Robert Luketic" 5 2015-12-03
322 "tt1189440" 2015-01-16 2015-01-16 NA "Agatha Christie's Marple: A Pocket Full of Rye" "https://www.imdb.com/title/tt1189440/" "tvEpisode" 7.4 93 2008 "Crime, Drama, Mystery" 829 2008-11-08 "Charlie Palmer" 8 2015-09-07
55 "tt0097165" 2013-01-27 2013-01-27 NA "Dead Poets Society" "https://www.imdb.com/title/tt0097165/" "movie" 8.1 128 1989 "Comedy, Drama" 330643 1989-06-02 "Peter Weir" 5 2013-02-01
286 "tt0032599" 2014-01-12 2014-01-12 NA "His Girl Friday" "https://www.imdb.com/title/tt0032599/" "movie" 8 92 1940 "Comedy, Drama, Romance" 45775 1940-01-11 "Howard Hawks" 7 2014-01-12
243 "tt0103064" 2013-02-07 2013-02-07 NA "Terminator 2: Judgment Day" "https://www.imdb.com/title/tt0103064/" "movie" 8.5 137 1991 "Action, Sci-Fi" 848382 1991-07-01 "James Cameron" NA NA
338 "tt1245565" 2015-09-27 2015-09-27 NA "Cuidado con el ángel" "https://www.imdb.com/title/tt1245565/" "tvSeries" 6.4 60 2008 "Drama, Romance" 1132 2008-06-09 NA 7 2017-04-05
325 "tt2562232" 2015-02-02 2015-02-02 NA "Birdman or (The Unexpected Virtue of Ignorance)" "https://www.imdb.com/title/tt2562232/" "movie" 7.7 119 2014 "Comedy, Drama" 479405 2014-08-27 "Alejandro G. Iñárritu" 8 2015-02-02
199 "tt1094619" 2013-01-29 2013-01-29 NA "Samandoon" "https://www.imdb.com/title/tt1094619/" "tvSeries" 6.4 NA 1995 "Comedy" 108 NA NA 8 2013-02-01
82 "tt0330373" 2013-01-27 2013-01-27 NA "Harry Potter and the Goblet of Fire" "https://www.imdb.com/title/tt0330373/" "movie" 7.7 157 2005 "Adventure, Family, Fantasy, Mystery" 449094 2005-11-06 "Mike Newell" 6 2013-02-01
244 "tt1781769" 2013-02-07 2013-02-07 NA "Anna Karenina" "https://www.imdb.com/title/tt1781769/" "movie" 6.6 129 2012 "Drama, Romance" 80194 2012-09-07 "Joe Wright" 5 2013-02-10
38 "tt0107290" 2013-01-27 2013-01-27 NA "Jurassic Park" "https://www.imdb.com/title/tt0107290/" "movie" 8.1 127 1993 "Adventure, Sci-Fi, Thriller" 720672 1993-06-09 "Steven Spielberg" 6 2013-02-01
39 "tt0362227" 2013-01-27 2013-01-27 NA "The Terminal" "https://www.imdb.com/title/tt0362227/" "movie" 7.3 128 2004 "Comedy, Drama, Romance" 343580 2004-06-09 "Steven Spielberg" 8 2013-01-31
107 "tt0128853" 2013-01-27 2013-01-27 NA "You've Got Mail" "https://www.imdb.com/title/tt0128853/" "movie" 6.6 119 1998 "Comedy, Drama, Romance" 168646 1998-12-18 "Nora Ephron" 9 2015-08-07
390 "tt3398228" 2017-01-09 2017-01-09 NA "BoJack Horseman" "https://www.imdb.com/title/tt3398228/" "tvSeries" 8.5 25 2014 "Animation, Comedy, Drama" 51058 2014-08-22 NA 10 2017-02-07
259 "tt1323520" 2013-04-05 2013-04-05 NA "French Roast" "https://www.imdb.com/title/tt1323520/" "short" 7.1 8 2008 "Animation, Short" 2405 2008-10-30 "Fabrice Joubert" 9 2013-05-10
237 "tt0230838" 2013-02-06 2013-02-06 NA "Sweet November" "https://www.imdb.com/title/tt0230838/" "movie" 6.7 119 2001 "Drama, Romance" 76754 2001-02-12 "Pat O'Connor" 8 2013-02-06
11 "tt1375666" 2013-01-27 2013-01-27 NA "Inception" "https://www.imdb.com/title/tt1375666/" "movie" 8.8 148 2010 "Action, Adventure, Sci-Fi, Thriller" 1704782 2010-07-08 "Christopher Nolan" 7 2015-12-18
345 "tt3526482" 2015-11-30 2015-11-30 NA "Ghesse-ha" "https://www.imdb.com/title/tt3526482/" "movie" 7.2 88 2014 "Drama" 955 2014-02-01 "Rakhshan Banietemad" 7 2015-11-30
76 "tt0061852" 2013-01-27 2013-01-27 NA "The Jungle Book" "https://www.imdb.com/title/tt0061852/" "movie" 7.6 78 1967 "Animation, Adventure, Family, Musical" 140847 1967-10-18 "Wolfgang Reitherman" 9 2013-01-31
88 "tt0929632" 2013-01-27 2013-01-27 NA "Precious" "https://www.imdb.com/title/tt0929632/" "movie" 7.3 110 2009 "Drama" 96188 2009-01-16 "Lee Daniels" 8 2013-01-31
268 "tt2209418" 2013-07-16 2013-07-16 NA "Before Midnight" "https://www.imdb.com/title/tt2209418/" "movie" 7.9 109 2013 "Drama, Romance" 113708 2013-01-20 "Richard Linklater" 7 2013-07-16
194 "tt0098635" 2013-01-28 2013-01-28 NA "When Harry Met Sally..." "https://www.imdb.com/title/tt0098635/" "movie" 7.6 96 1989 "Comedy, Drama, Romance" 167275 1989-07-12 "Rob Reiner" 3 2013-01-31
271 "tt0813715" 2013-08-09 2013-08-09 NA "Heroes" "https://www.imdb.com/title/tt0813715/" "tvSeries" 7.6 45 2006 "Drama, Fantasy, Sci-Fi, Thriller" 213234 2006-07-22 NA 7 2015-12-24
298 "tt1554113" 2014-02-26 2014-02-26 NA "Agatha Christie's Poirot: Murder on the Orient Express" "https://www.imdb.com/title/tt1554113/" "tvEpisode" 7.9 89 2010 "Crime, Drama, Mystery, Thriller" 2937 2010-07-11 "Philip Martin" NA NA
152 "tt0332834" 2013-01-27 2013-01-27 NA "Zendan-e zanan" "https://www.imdb.com/title/tt0332834/" "movie" 6.7 106 2002 "Drama" 790 2002-08-07 "Manijeh Hekmat" 6 2013-02-01
387 "tt0363163" 2016-12-30 2016-12-30 NA "Der Untergang" "https://www.imdb.com/title/tt0363163/" "movie" 8.2 156 2004 "Biography, Drama, History, War" 286974 2004-09-08 "Oliver Hirschbiegel" 8 2017-04-27
216 "tt0034492" 2013-02-03 2013-02-03 NA "Bambi" "https://www.imdb.com/title/tt0034492/" "movie" 7.3 70 1942 "Animation, Drama, Family" 108892 1942-08-08 "Samuel Armstrong, Paul Satterfield, Graham Heid, James Algar, David Hand, Bill Roberts, Norman Wright" 6 2013-02-03
424 "tt0095327" 2018-04-10 2018-04-10 NA "Hotaru no haka" "https://www.imdb.com/title/tt0095327/" "movie" 8.5 89 1988 "Animation, Drama, War" 175178 1988-04-16 "Isao Takahata" 9 2018-04-10
98 "tt1334260" 2013-01-27 2013-01-27 NA "Never Let Me Go" "https://www.imdb.com/title/tt1334260/" "movie" 7.2 103 2010 "Drama, Romance, Sci-Fi" 124161 2010-09-03 "Mark Romanek" 6 2013-01-31
306 "tt0319061" 2014-05-04 2014-05-04 NA "Big Fish" "https://www.imdb.com/title/tt0319061/" "movie" 8 125 2003 "Adventure, Drama, Fantasy, Romance" 377140 2003-12-04 "Tim Burton" 9 2014-05-04
265 "tt0081505" 2013-07-02 2013-07-02 NA "The Shining" "https://www.imdb.com/title/tt0081505/" "movie" 8.4 146 1980 "Drama, Horror" 717319 1980-05-23 "Stanley Kubrick" 8 2013-07-02
185 "tt0123046" 2013-01-28 2013-01-28 NA "Dozd aroosakha" "https://www.imdb.com/title/tt0123046/" "movie" 6.4 77 1990 "Comedy, Family, Musical" 523 1990-02-01 "Mohamad Reza Honarmand" 8 2013-02-01
352 "tt0417349" 2015-12-16 2015-12-16 NA "North & South" "https://www.imdb.com/title/tt0417349/" "tvMiniSeries" 8.7 235 2004 "Drama, Romance" 25130 2004-11-14 NA 8 2015-12-16
350 "tt1375670" 2015-12-13 2015-12-13 NA "Grown Ups" "https://www.imdb.com/title/tt1375670/" "movie" 6 102 2010 "Comedy" 199982 2010-06-24 "Dennis Dugan" 4 2015-12-13
398 "tt1837492" 2017-04-21 2017-04-21 NA "13 Reasons Why" "https://www.imdb.com/title/tt1837492/" "tvSeries" 8.3 60 2017 "Drama, Mystery" 162676 2017-03-31 NA 8 2017-04-23
