"Position" "Const" "Created" "Modified" "Description" "Title" "URL" "Title Type" "IMDb Rating" "Runtime (mins)" "Year" "Genres" "Num Votes" "Release Date" "Directors" "Your Rating" "Date Rated"
220 "tt0864761" 2013-02-03 2013-02-03 NA "The Duchess" "https://www.imdb.com/title/tt0864761/" "movie" 6.9 110 2008 "Biography, Drama, History, Romance" 68844 2008-09-03 "Saul Dibb" 7 2013-02-03
240 "tt0046903" 2013-02-06 2013-02-06 NA "Désirée" "https://www.imdb.com/title/tt0046903/" "movie" 6.4 110 1954 "Biography, Drama, History, Romance" 2142 1954-11-16 "Henry Koster" 10 2015-12-16
117 "tt0477347" 2013-01-27 2013-01-27 NA "Night at the Museum" "https://www.imdb.com/title/tt0477347/" "movie" 6.4 108 2006 "Adventure, Comedy, Family, Fantasy" 267809 2006-12-17 "Shawn Levy" 3 2013-02-01
59 "tt0230600" 2013-01-27 2013-01-27 NA "The Others" "https://www.imdb.com/title/tt0230600/" "movie" 7.6 101 2001 "Horror, Mystery, Thriller" 299249 2001-08-02 "Alejandro Amenábar" 6 2013-01-31
386 "tt0485947" 2016-12-30 2016-12-30 NA "Mr. Nobody" "https://www.imdb.com/title/tt0485947/" "movie" 7.9 141 2009 "Drama, Fantasy, Romance, Sci-Fi" 182780 2009-09-11 "Jaco Van Dormael" 5 2017-04-27
361 "tt0406516" 2016-01-26 2016-01-26 NA "Agatha Christie's Poirot: Death on the Nile" "https://www.imdb.com/title/tt0406516/" "tvEpisode" 7.9 98 2004 "Crime, Drama, Mystery, Thriller" 2199 2004-04-12 "Andy Wilson" NA NA
275 "tt0163924" 2013-10-11 2013-10-11 NA "All Saints" "https://www.imdb.com/title/tt0163924/" "tvSeries" 7.1 60 1998 "Drama" 930 1998-02-24 NA 8 2017-05-08
316 "tt2670642" 2014-12-17 2014-12-17 NA "I Feel Sleepy" "https://www.imdb.com/title/tt2670642/" "movie" 5.8 90 2012 "Comedy, Drama, Romance" 755 2012-02-01 "Reza Attaran" 2 2014-12-17
10 "tt0120737" 2013-01-27 2013-01-27 NA "The Lord of the Rings: The Fellowship of the Ring" "https://www.imdb.com/title/tt0120737/" "movie" 8.8 178 2001 "Adventure, Drama, Fantasy" 1408603 2001-12-10 "Peter Jackson" 6 2013-01-31
189 "tt0384356" 2013-01-28 2013-01-28 NA "Mozahem" "https://www.imdb.com/title/tt0384356/" "movie" 4.6 NA 2002 "Drama" 249 2002-02-20 "Sirus Alvand" 3 2013-02-01
299 "tt0043014" 2014-02-28 2014-02-28 NA "Sunset Blvd." "https://www.imdb.com/title/tt0043014/" "movie" 8.5 110 1950 "Drama, Film-Noir" 166029 1950-08-10 "Billy Wilder" 8 2014-02-28
86 "tt0121164" 2013-01-27 2013-01-27 NA "Corpse Bride" "https://www.imdb.com/title/tt0121164/" "movie" 7.4 77 2005 "Animation, Drama, Family, Fantasy, Musical, Romance" 212282 2005-09-07 "Tim Burton, Mike Johnson" 8 2013-02-01
125 "tt0309593" 2013-01-27 2013-01-27 NA "Final Destination 2" "https://www.imdb.com/title/tt0309593/" "movie" 6.2 90 2003 "Fantasy, Horror, Mystery, Thriller" 133226 2003-01-30 "David R. Ellis" 3 2013-02-01
